word,distance,targetword,spacetime
spend,0.3020332455635071,long,other
served,0.30128151178359985,long,other
perfect,0.30070197582244873,long,other
whole,0.3000617027282715,long,both
young,0.29995492100715637,long,time
stout,0.2999125123023987,long,other
excitable,0.29948049783706665,long,other
soft,0.29943108558654785,long,other
wobbly,0.2990909218788147,long,both
waiter,0.2990826368331909,long,other
rich,0.29870057106018066,long,other
nicely,0.29858511686325073,long,other
interesting,0.29851698875427246,long,other
moonlit,0.29819929599761963,long,other
bible,0.2977412939071655,long,other
proud,0.2976480722427368,long,other
guide,0.296947181224823,long,other
affection,0.29639843106269836,long,other
disappointed,0.2963404357433319,long,other
stiff,0.29584962129592896,long,other
he,0.2956124544143677,long,other
woolly,0.2955629825592041,long,other
conversation,0.2952415943145752,long,other
ugly,0.29486340284347534,long,other
frustrating,0.29483500123023987,long,other
possible,0.29464152455329895,long,other
lucky,0.29403382539749146,long,other
passed,0.29391881823539734,long,both
even,0.29383784532546997,long,other
giant,0.2937225103378296,long,space
troubles,0.29361554980278015,long,other
nice,0.29359593987464905,long,other
winnie_the_pooh,0.29347819089889526,long,other
angry,0.293196439743042,long,other
quilt,0.2931201457977295,long,other
neat,0.292956680059433,long,other
twelve,0.29223886132240295,long,other
weird,0.29192185401916504,long,other
pointy,0.29114046692848206,long,other
special,0.29074037075042725,long,other
services,0.2903073728084564,long,other
slim,0.290143221616745,long,other
juvenile,0.2894619107246399,long,other
seven,0.28898757696151733,long,other
crinkly,0.2889646291732788,long,other
nineteen,0.2889072000980377,long,other
style,0.2884865701198578,long,other
beyond,0.2883717119693756,long,other
corny,0.28829318284988403,long,other
sixteen,0.28808167576789856,long,other
session,0.2878251075744629,long,time
marvelous,0.2878227233886719,long,other
fa,0.287688672542572,long,other
summer,0.2875288724899292,long,time
tusks,0.2872006297111511,long,other
pleased,0.28700804710388184,long,other
that,0.286376953125,long,other
gently,0.28635460138320923,long,other
snowman,0.2863500714302063,long,other
rare,0.2863157391548157,long,both
pain,0.28631114959716797,long,other
lately,0.28560397028923035,long,time
surprised,0.28556782007217407,long,other
nervous,0.28452420234680176,long,other
fourteen,0.2842590808868408,long,other
she,0.28416168689727783,long,other
its,0.2841212749481201,long,other
loud,0.2840699553489685,long,other
focused,0.28398650884628296,long,other
rainy,0.28364941477775574,long,other
only,0.2833248972892761,long,other
shorter,0.2831808924674988,long,both
cheap,0.2828848958015442,long,other
fleece,0.282816618680954,long,other
died,0.28239715099334717,long,other
gretel,0.28238293528556824,long,other
cure,0.2822946310043335,long,other
searched,0.28221774101257324,long,other
tinky_winky,0.2821691632270813,long,other
hours,0.28208011388778687,long,time
ten,0.2817481756210327,long,other
tubbie,0.2817336320877075,long,other
rudolph,0.28072381019592285,long,other
jasmine,0.2806470990180969,long,other
unicorn,0.28048279881477356,long,other
such,0.2803836762905121,long,other
grumpy,0.2803112268447876,long,other
pounds,0.2802846133708954,long,other
stomach,0.2798740863800049,long,other
patchy,0.27949535846710205,long,space
cent,0.27943751215934753,long,other
fuzzy_wuzzy,0.27923426032066345,long,other
fallen,0.27913910150527954,long,other
level,0.27877938747406006,long,space
twisty,0.27876734733581543,long,both
fluffy,0.2786693274974823,long,other
certain,0.27857011556625366,long,other
yet,0.2785583734512329,long,time
nearly,0.27802324295043945,long,both
senior,0.27713632583618164,long,other
february,0.27708739042282104,long,time
pajama,0.2769842743873596,long,other
familiar,0.27660056948661804,long,other
zero,0.27635928988456726,long,other
necks,0.2762461006641388,long,other
sandra,0.27613842487335205,long,other
flight,0.2756849527359009,long,both
hundred,0.2751550078392029,long,other
complex,0.2749819755554199,long,other
proper,0.2749604880809784,long,other
blind,0.27422574162483215,long,other
playful,0.2740398049354553,long,other
dotty,0.27333521842956543,long,other
sneaky,0.27320781350135803,long,other
signal,0.2730844020843506,long,other
exasperated,0.27293112874031067,long,other
dollars,0.2727322578430176,long,other
handsome,0.2726040780544281,long,other
dull,0.2725379467010498,long,other
funny,0.27252668142318726,long,other
cool,0.2724129259586334,long,other
half,0.27228793501853943,long,both
afternoons,0.2721513509750366,long,other
acre,0.2721475660800934,long,other
claws,0.2720794677734375,long,other
snowball,0.2719482183456421,long,other
bucks,0.2718000113964081,long,other
magical,0.271664559841156,long,other
fair,0.27111655473709106,long,other
uncle_tommy,0.2710723280906677,long,other
almost,0.27078777551651,long,both
texas,0.27063828706741333,long,other
amazed,0.2704625129699707,long,other
germany,0.2701690196990967,long,other
willie,0.26957136392593384,long,other
lilly,0.2695305347442627,long,other
wrinkly,0.26948219537734985,long,other
sixth,0.2692769467830658,long,other
cold,0.26908522844314575,long,other
dracula,0.2686305344104767,long,other
prince,0.2685934603214264,long,other
naps,0.2684221863746643,long,other
dollar,0.268420934677124,long,other
headed,0.26811152696609497,long,other
ability,0.2678678333759308,long,other
bow,0.26772451400756836,long,other
giraffe,0.2672095000743866,long,other
frightened,0.26720112562179565,long,other
likely,0.26709288358688354,long,other
butterfly,0.26690229773521423,long,other
rwww,0.26684439182281494,long,other
amusing,0.2663147449493408,long,other
excited,0.26617667078971863,long,other
chubby,0.2660037875175476,long,other
stupid,0.265839546918869,long,other
wings,0.2656348943710327,long,other
gloomy,0.2655690014362335,long,other
shadows,0.26488691568374634,long,other
common,0.26480013132095337,long,other
contrary,0.26425957679748535,long,other
donny,0.26390719413757324,long,other
oscar,0.2638421356678009,long,other
macdonald,0.26383286714553833,long,other
teletubby,0.2635026276111603,long,other
weeks,0.26343244314193726,long,time
surprising,0.2634046673774719,long,other
lunches,0.2632177174091339,long,other
guns,0.26314017176628113,long,other
ariel,0.26290935277938843,long,other
seriously,0.26263427734375,long,other
four,0.26231926679611206,long,other
untill,0.2622015178203583,long,other
frosty,0.26215171813964844,long,other
helga,0.2621292173862457,long,other
costing,0.26178041100502014,long,other
vocabulary,0.2617727220058441,long,other
second,0.26168227195739746,long,both
cape,0.2614447772502899,long,other
jafar,0.26144057512283325,long,other
patient,0.2612747550010681,long,time
president,0.2609090209007263,long,other
atmosphere,0.26069068908691406,long,other
dub,0.2601541578769684,long,other
cause,0.26009833812713623,long,other
cute,0.260056734085083,long,other
damp,0.2598322629928589,long,other
steering,0.25970423221588135,long,other
sale,0.25965017080307007,long,other
elastic,0.25957372784614563,long,other
parade,0.2592315077781677,long,other
larger,0.25914204120635986,long,other
determined,0.2587280571460724,long,other
blamed,0.25862687826156616,long,other
sick,0.2585550546646118,long,other
eric,0.2580762207508087,long,other
caterpillars,0.2579367458820343,long,other
violent,0.2574872672557831,long,other
messenger,0.2573516368865967,long,other
coach,0.2572302222251892,long,other
hadn,0.25682955980300903,long,other
trip,0.25681987404823303,long,both
dirty,0.25674399733543396,long,other
civilized,0.2565944790840149,long,other
twirly,0.2565803527832031,long,both
autumn,0.2564085125923157,long,time
evening,0.2563639283180237,long,time
yours,0.2561321258544922,long,other
duke,0.2560826241970062,long,other
happily,0.2560381293296814,long,other
smaller,0.2553977966308594,long,other
seconds,0.25533002614974976,long,other
kentucky,0.2551635503768921,long,other
breeze,0.2549179196357727,long,other
gallons,0.2547250986099243,long,space
tenth,0.2547171115875244,long,other
patience,0.25465014576911926,long,other
abandoned,0.2542738914489746,long,both
tupty,0.254271000623703,long,other
this,0.2540762424468994,long,other
their,0.25394105911254883,long,other
guilty,0.25393080711364746,long,other
goldilocks,0.25367340445518494,long,other
laundromat,0.253393292427063,long,other
cranky,0.2533226013183594,long,other
independent,0.2533215880393982,long,other
feast,0.2532554268836975,long,other
fantasy,0.2530635595321655,long,other
affect,0.25271856784820557,long,other
corduroy,0.2522832453250885,long,other
bathing,0.2514204680919647,long,other
except,0.2511563301086426,long,other
wiggly,0.25113439559936523,long,other
rhinos,0.25096943974494934,long,other
label,0.2509644031524658,long,other
