word,similarity, targetword,spacetime
lifetime,0.307626784,long,T
lightly,0.26619029,long,O
lightweights,0.285382837,long,O
limber,0.301777631,long,O
limited,0.275817424,long,B
limits,0.25802964,long,B
literally,0.267418712,long,O
litigious,0.28984201,long,O
little,0.277893305,long,S
lomassi,0.281890929,long,O
lonely,0.319364727,long,O
longer,0.33088848,long,B
longest,0.455067426,long,B
longish,0.304187894,long,B
loosely,0.257495552,long,S
low,0.362574428,long,S
lucky,0.281027138,long,O
lunkers,0.256181955,long,O
lusted,0.344037473,long,O
lusting,0.417702258,long,O
luxuriantly,0.283733875,long,O
madiba,0.247904539,long,O
mairin,0.338186324,long,O
malleable,0.284019053,long,O
many,0.349954605,long,B
marabou,0.253732681,long,O
masapan,0.247583508,long,O
mashini,0.259386718,long,O
masquerade,0.264090836,long,O
masqueraded,0.259226263,long,O
masquerading,0.282384813,long,O
mature,0.246922806,long,O
melodramatic,0.288661122,long,O
menopause,0.271355391,long,T
messy,0.251256168,long,O
michaelmas,0.248520061,long,O
milky,0.263131678,long,O
millenia,0.26187706,long,T
millennia,0.394200534,long,T
millenniums,0.307861924,long,T
minicebo,0.281976283,long,O
minimal,0.278925329,long,B
minute,0.306444228,long,T
minutes,0.274999171,long,T
miserable,0.278280288,long,O
miserly,0.249767065,long,O
misnomer,0.320680141,long,O
misser,0.248222277,long,O
molting,0.288225561,long,O
months,0.318307787,long,T
motionless,0.253998011,long,B
much,0.498104662,long,B
muley,0.252991527,long,O
mvt,0.248172939,long,O
naive,0.249069929,long,O
nanoseconds,0.317492962,long,T
nap,0.306957901,long,B
naps,0.251068622,long,O
narrow,0.322541595,long,B
naught,0.255875289,long,O
near,0.260327607,long,B
nearly,0.310589314,long,B
nears,0.262951493,long,B
nevilles,0.247309297,long,O
newyear,0.246220902,long,T
nicely,0.245214805,long,O
nimble,0.323554575,long,O
numb,0.259056717,long,O
nuthatch,0.246370971,long,O
nyfw,0.378327191,long,O
obamneycare,0.247328907,long,O
often,0.345218837,long,T
only,0.254664838,long,O
ovations,0.247700453,long,O
overlong,0.391109169,long,T
painful,0.404844671,long,O
painless,0.284249276,long,O
panacea,0.248519063,long,O
pasty,0.263477266,long,O
patiently,0.340581357,long,O
pawleys,0.28256166,long,O
payback,0.284977555,long,O
pejorative,0.348358154,long,O
penikese,0.254435897,long,O
perilous,0.343213767,long,O
period,0.259922981,long,B
periods,0.279459625,long,B
peste,0.271760613,long,O
photogenic,0.274404913,long,O
picky,0.251185417,long,O
pining,0.335196316,long,O
placidu,0.247340679,long,O
plentiful,0.266165525,long,B
polysaccharide,0.251566499,long,O
predictable,0.261441082,long,O
prefetch,0.248909175,long,O
prehensile,0.264848292,long,O
presumptuous,0.25141716,long,O
preturns,0.2617836,long,O
probationary,0.277814269,long,O
progresses,0.34550029,long,B
prolonged,0.376233548,long,B
promisingly,0.261930645,long,O
quick,0.282345802,long,B
quickly,0.35234803,long,B
quiescent,0.257026285,long,O
quiet,0.361911297,long,O
quietly,0.282237291,long,O
quint,0.263211221,long,O
quitter,0.277431786,long,O
