word,similarity, targetword,spacetime
lethargic,0.271820635,short,O
lightweight,0.308419526,short,O
limber,0.401326239,short,O
limited,0.35927999,short,B
linear,0.355141461,short,B
lonely,0.269550264,short,O
long,0.74535358,short,B
longer,0.377858788,short,B
longest,0.495943606,short,B
longish,0.459915549,short,B
loose,0.334664255,short,S
loosely,0.285769522,short,S
low,0.437024415,short,S
lucky,0.2997334,short,O
madiba,0.330272675,short,O
malleable,0.318232924,short,O
manageable,0.285101235,short,O
marginal,0.348507375,short,O
mature,0.30875802,short,O
meaningful,0.280315667,short,O
meaningless,0.278621852,short,O
melodramatic,0.354629755,short,O
mere,0.313958943,short,O
messy,0.284474105,short,O
mid,0.311669558,short,B
midcalf,0.299592376,short,O
mild,0.297679901,short,O
millisecond,0.268869609,short,T
minicebo,0.272565931,short,O
minimal,0.376188248,short,O
minute,0.328668594,short,T
miserly,0.343361884,short,O
mishits,0.293015063,short,O
misnomer,0.393123329,short,O
modest,0.365396023,short,O
monogamous,0.297981977,short,O
monotonous,0.31017679,short,T
mpl,0.271702707,short,O
muley,0.269307852,short,O
multihour,0.291611314,short,T
mushy,0.282132387,short,O
mvt,0.282622039,short,O
nanoseconds,0.273346364,short,T
narrow,0.407441407,short,S
nasty,0.315257072,short,O
neat,0.330516934,short,O
negligible,0.342151195,short,O
nervy,0.298160017,short,O
nicely,0.272494346,short,O
nightscapes,0.272508979,short,O
nimble,0.369171858,short,O
noticeable,0.329968929,short,O
occam,0.28311497,short,O
only,0.27904886,short,O
out,0.28491801,short,O
overlong,0.399624586,short,T
pageboy,0.279572397,short,O
painful,0.398228467,short,O
painless,0.396079063,short,O
pant,0.324491084,short,O
payback,0.285636425,short,O
pejorative,0.404831469,short,O
perceptive,0.277710915,short,O
perfect,0.281558037,short,O
perilous,0.35023272,short,O
period,0.275271654,short,B
periods,0.293203115,short,B
pessimistic,0.270282209,short,O
photogenic,0.284708709,short,O
playable,0.304569721,short,O
polite,0.316499829,short,O
ponderous,0.291685045,short,O
precise,0.328553557,short,O
predictable,0.352522671,short,O
pricey,0.321469009,short,O
probationary,0.322512418,short,O
prolonged,0.389573932,short,B
protracted,0.281989157,short,B
prudent,0.321108609,short,O
pulsation,0.279719114,short,O
punchy,0.31744504,short,O
puny,0.297893912,short,S
qarl,0.291792363,short,O
quick,0.45027256,short,B
quickly,0.306292683,short,B
quiet,0.363449663,short,O
ragged,0.353515774,short,O
raggedly,0.270627975,short,O
rapid,0.349036455,short,B
regimented,0.267819434,short,O
respectable,0.272433043,short,O
respectably,0.269353032,short,O
retrogressive,0.282620698,short,T
rewarding,0.284159184,short,O
rialt,0.273988247,short,O
ridiculously,0.279726535,short,O
rigid,0.279316425,short,O
ripe,0.32362622,short,O
risky,0.430142373,short,O
risque,0.321370035,short,O
robust,0.294642508,short,O
rockered,0.290791005,short,O
romantic,0.273444891,short,O
rough,0.446661741,short,O
rpe,0.306950033,short,O
saddening,0.296212047,short,O
same,0.32966882,short,B
sappy,0.317439169,short,O
satisfactory,0.308346152,short,O
satisfying,0.325692058,short,O
savile,0.274840683,short,O
scant,0.273960203,short,B
scary,0.268949658,short,O
scraggly,0.280264378,short,O
second,0.445703864,short,B
seldom,0.312551051,short,T
selective,0.271478176,short,O
senoritas,0.269170314,short,O
sensible,0.313174605,short,O
sensibly,0.278641433,short,O
sentimental,0.312023938,short,O
sexy,0.278375298,short,O
shaky,0.295225978,short,O
shallow,0.348848492,short,S
shallowly,0.286056042,short,S
shapely,0.271985292,short,S
sharp,0.376831651,short,O
shorten,0.332248926,short,B
shortened,0.467921019,short,B
shortening,0.316603661,short,B
shorter,0.52690649,short,B
shortest,0.486010969,short,B
showy,0.275663882,short,O
shrewd,0.281006515,short,O
shy,0.302253127,short,O
silent,0.335248411,short,O
silky,0.284946769,short,O
simple,0.397894174,short,O
simplest,0.270669073,short,O
simplistic,0.315814465,short,O
sketchy,0.291397929,short,O
skimpy,0.337617576,short,O
skinny,0.358340025,short,S
slack,0.397067487,short,O
slender,0.273435473,short,S
slight,0.330909371,short,O
slim,0.405907035,short,S
slimming,0.281456798,short,S
slippery,0.284445465,short,O
sloppily,0.29069382,short,O
sloppy,0.282973796,short,O
slow,0.432564914,short,B
slower,0.312344581,short,B
slowly,0.278415382,short,B
sluggish,0.336001515,short,O
slurred,0.30049026,short,O
small,0.345442414,short,S
smarty,0.285747528,short,O
smooth,0.311022401,short,O
smoother,0.283734441,short,O
smoothly,0.304290533,short,O
snappy,0.379180133,short,O
soft,0.340750605,short,O
softer,0.275642127,short,O
soldierly,0.267785877,short,O
solitary,0.312405527,short,O
spacefield,0.268113017,short,S
sparse,0.384483576,short,O
speedy,0.313022912,short,B
spindly,0.267942607,short,S
spotty,0.286246896,short,B
squeamish,0.271224678,short,O
steady,0.379505128,short,O
stealthy,0.298951209,short,O
steep,0.390769064,short,S
stiff,0.417550743,short,O
stilettos,0.289934874,short,O
stilted,0.367287576,short,O
stingy,0.306661695,short,O
stout,0.286033988,short,O
straggly,0.27250132,short,O
straight,0.313502014,short,S
straightest,0.313605279,short,S
straightforward,0.360166788,short,O
straightline,0.271899313,short,S
strenuous,0.346076369,short,O
stressful,0.287519336,short,O
stretchy,0.277955472,short,O
striate,0.287425339,short,S
strong,0.281098992,short,O
stubborn,0.270454943,short,O
stubby,0.316070884,short,S
stumpy,0.312668592,short,S
sturdy,0.282975376,short,O
suave,0.267685533,short,O
subpar,0.327076018,short,O
substantial,0.30211401,short,O
subtle,0.267825186,short,O
succinct,0.280442506,short,B
superficial,0.296489418,short,O
supershort,0.293956578,short,B
supple,0.343459666,short,O
suspenseful,0.333619237,short,O
swift,0.288258433,short,B
szulc,0.311782777,short,O
tad,0.268235147,short,O
tall,0.341336697,short,S
tame,0.292308927,short,O
tasteless,0.288701177,short,O
taut,0.35146755,short,O
tedious,0.373155028,short,O
tempting,0.273232132,short,O
tender,0.314965516,short,O
tense,0.316658616,short,O
tentative,0.316610873,short,O
thick,0.389687896,short,S
thin,0.416346312,short,S
third,0.272263408,short,B
thoughtless,0.275099337,short,O
thrilling,0.315422386,short,O
ticklish,0.327204376,short,O
