word,distance,targetword,spacetime
broken,0.3904193937778473,short,other
cold,0.38955074548721313,short,other
rotten,0.3895435035228729,short,other
hairs,0.3894456624984741,short,other
snowy,0.38932663202285767,short,other
sputtered,0.38932037353515625,short,other
tasty,0.38927167654037476,short,other
upon,0.38887256383895874,short,both
smelly,0.3886983096599579,short,other
flowing,0.3881179988384247,short,other
known,0.3880176544189453,short,other
sixteen,0.3879157304763794,short,other
agreeable,0.3878079354763031,short,other
brushed,0.3876417577266693,short,other
disguised,0.38746923208236694,short,other
snake,0.38676631450653076,short,other
shaggy,0.3867011070251465,short,other
pointy,0.386165976524353,short,other
headed,0.3853188753128052,short,other
thread,0.3853164613246918,short,other
determined,0.38520970940589905,short,other
such,0.38510727882385254,short,other
powerful,0.3850264549255371,short,other
died,0.38480597734451294,short,other
fuzzy_wuzzy,0.38441458344459534,short,other
atmosphere,0.38430237770080566,short,other
talkative,0.384158730506897,short,other
macdonald,0.3840336501598358,short,other
plump,0.38393160700798035,short,other
fur,0.3836633563041687,short,other
sad,0.3835471272468567,short,other
duper,0.38272345066070557,short,other
lamb,0.38257911801338196,short,other
abandoned,0.3825482428073883,short,both
tickly,0.3825437128543854,short,other
dark,0.3824233412742615,short,other
affection,0.3823644518852234,short,other
longer,0.38221830129623413,short,both
playful,0.38204845786094666,short,other
wallpaper,0.38204145431518555,short,other
fudge,0.3819904029369354,short,other
stroke,0.3816206157207489,short,both
warm,0.381350040435791,short,other
built,0.3811306953430176,short,both
autumn,0.3805300295352936,short,time
dust,0.3805282711982727,short,other
dub,0.3803105354309082,short,other
brown,0.3802925646305084,short,other
extremely,0.380292147397995,short,other
mane,0.3798139989376068,short,other
feets,0.37960517406463623,short,other
master,0.3789428174495697,short,other
steel,0.3786153197288513,short,other
haired,0.37800443172454834,short,other
charming,0.37777024507522583,short,other
early,0.3770156502723694,short,time
disappointed,0.37649255990982056,short,other
sash,0.37636950612068176,short,other
mighty,0.37625664472579956,short,other
dollar,0.37582483887672424,short,other
hairy,0.375440776348114,short,other
golden,0.3747759163379669,short,other
magical,0.3747488856315613,short,other
handsome,0.37411820888519287,short,other
joy,0.37407785654067993,short,other
beak,0.3739188313484192,short,other
noticing,0.37325552105903625,short,other
cozy,0.3731597065925598,short,other
foots,0.3729677200317383,short,other
high,0.37244948744773865,short,space
sweatshirt,0.37210243940353394,short,other
generous,0.37185138463974,short,other
cutting,0.3716268837451935,short,other
weird,0.37143898010253906,short,other
disgusting,0.3714149594306946,short,other
freezing,0.37141257524490356,short,other
bathing,0.37136372923851013,short,other
curious,0.37075725197792053,short,other
years,0.3704453408718109,short,time
looser,0.3702375888824463,short,both
searching,0.3698832392692566,short,other
hut,0.36960315704345703,short,other
kid,0.3694746494293213,short,other
hot,0.3694562613964081,short,other
tiger,0.3693595826625824,short,other
confusing,0.3693438768386841,short,other
quite,0.36880946159362793,short,other
rubbing,0.36828261613845825,short,other
variety,0.36789602041244507,short,other
fast,0.3677414655685425,short,both
costing,0.3672993779182434,short,other
passed,0.367291122674942,short,both
flu,0.3671707510948181,short,other
loxy,0.3665652871131897,short,other
conversation,0.36639803647994995,short,other
hansel,0.36618804931640625,short,other
wig,0.36605793237686157,short,other
amusing,0.36594265699386597,short,other
polish,0.36594158411026,short,other
role,0.3658810257911682,short,other
elegant,0.36561644077301025,short,other
sick,0.3648783564567566,short,other
susan,0.3648375868797302,short,other
grey,0.36450403928756714,short,other
nasty,0.3642229437828064,short,other
vest,0.36420172452926636,short,other
wider,0.36419737339019775,short,space
solid,0.364080548286438,short,other
cuddly,0.36354660987854004,short,other
patience,0.363449364900589,short,other
panther,0.3628298044204712,short,other
lucky,0.3627912998199463,short,other
stepmother,0.36259859800338745,short,other
paws,0.36259138584136963,short,other
cooperative,0.3625778555870056,short,other
spotty,0.3625534772872925,short,both
flatter,0.36245661973953247,short,other
sloppy,0.3621950149536133,short,other
toothless,0.362099289894104,short,other
ambitious,0.3616239130496979,short,other
candles,0.3612966537475586,short,other
crinkly,0.3612583577632904,short,other
loud,0.36113396286964417,short,other
unusual,0.3610643148422241,short,other
unhappy,0.3608863949775696,short,other
independent,0.36076855659484863,short,other
lovable,0.36047786474227905,short,other
hooves,0.36046767234802246,short,other
lonely,0.3603699505329132,short,other
itching,0.3602936267852783,short,other
rare,0.3600701093673706,short,both
peaceful,0.35977602005004883,short,other
waited,0.35976698994636536,short,time
final,0.3597317337989807,short,time
far,0.35945361852645874,short,both
soul,0.35927408933639526,short,other
cowboy,0.3592340350151062,short,other
thirteen,0.35922759771347046,short,other
fierce,0.35918810963630676,short,other
tired,0.3590988516807556,short,other
spoiled,0.3590875566005707,short,other
fond,0.3589773178100586,short,other
wings,0.35880047082901,short,other
reindeer,0.35858482122421265,short,other
brick,0.3585495352745056,short,other
feathers,0.35847023129463196,short,other
squishy,0.3584069311618805,short,other
badly,0.35822367668151855,short,other
glider,0.35792750120162964,short,other
dusty,0.3576893210411072,short,other
girlie,0.35761570930480957,short,other
sweet,0.35760509967803955,short,other
distracted,0.3574686646461487,short,other
pats,0.35740554332733154,short,other
funny,0.3573511242866516,short,other
dreamt,0.3569989800453186,short,other
marvelous,0.3569332957267761,short,other
quick,0.3569110035896301,short,both
tags,0.3568462133407593,short,other
trunk,0.35680708289146423,short,other
sheesh,0.35674747824668884,short,other
hyrax,0.35643047094345093,short,other
pink,0.3563765585422516,short,other
ours,0.3562668263912201,short,other
months,0.3562087416648865,short,time
thousands,0.3560938835144043,short,other
leader,0.35602718591690063,short,other
valentine,0.3556385040283203,short,other
infant,0.3553459644317627,short,other
clippers,0.35531681776046753,short,other
stinker,0.3552296459674835,short,other
important,0.3548123836517334,short,other
juvenile,0.3545364737510681,short,other
worried,0.3543980121612549,short,other
meters,0.3539254069328308,short,other
grabbing,0.35384732484817505,short,other
talented,0.3537311255931854,short,other
charmer,0.3530063033103943,short,other
pounds,0.3529951870441437,short,other
stuffy,0.352491170167923,short,other
ribs,0.352416455745697,short,other
carefully,0.35221338272094727,short,other
roast,0.35209280252456665,short,other
posing,0.3520797789096832,short,other
civilized,0.35191893577575684,short,other
nepal,0.351541131734848,short,other
sort_of,0.35153770446777344,short,other
relaxing,0.35136014223098755,short,other
smartie,0.35121721029281616,short,other
surprising,0.3511209487915039,short,other
greatest,0.35108309984207153,short,other
surprised,0.35089924931526184,short,other
lower,0.3507992923259735,short,space
sisters,0.35075366497039795,short,other
annoying,0.35045382380485535,short,other
muddy,0.3503830134868622,short,other
dolphin,0.35018444061279297,short,other
trial,0.35005858540534973,short,other
smile,0.3500403165817261,short,other
serious,0.3499920666217804,short,other
lunchbox,0.3498181700706482,short,other
gloomy,0.34964412450790405,short,other
snug,0.34951937198638916,short,other
clover,0.3492163419723511,short,other
stretch,0.3491517901420593,short,both
cranky,0.3489842414855957,short,other
bantam,0.3489398658275604,short,other
sleepy,0.3487372398376465,short,other
scrapes,0.34841811656951904,short,other
rubbed,0.34805312752723694,short,other
macgregor,0.34784549474716187,short,other
giraffe,0.34780603647232056,short,other
uncomfortable,0.34677690267562866,short,other
curls,0.3465537428855896,short,other
greedy,0.3460163176059723,short,other
enjoyable,0.3457089066505432,short,other
mischief,0.3456634283065796,short,other
runny,0.34547731280326843,short,other
nations,0.34535452723503113,short,other
fourteen,0.3449954390525818,short,other
desks,0.3447893261909485,short,other
kentucky,0.3446856141090393,short,other
fifty,0.3446204662322998,short,other
mi,0.3444229066371918,short,other
noggin,0.3442448675632477,short,other
pleasant,0.34420692920684814,short,other
wise,0.3441632390022278,short,other
paw,0.34305039048194885,short,other
shaking,0.3429117202758789,short,other
eah,0.34285783767700195,short,other
treat,0.3428153693675995,short,other
chunky,0.34256696701049805,short,other
blind,0.3424082398414612,short,other
exasperated,0.3422296345233917,short,other
bingo,0.3420918583869934,short,other
tail,0.34193912148475647,short,other
exciting,0.3419168293476105,short,other
donny,0.34178996086120605,short,other
cruel,0.3417806029319763,short,other
stings,0.3416860103607178,short,other
icky,0.341635137796402,short,other
dinky,0.34089094400405884,short,other
annoyed,0.3408832550048828,short,other
headache,0.34086430072784424,short,other
gray,0.3407827317714691,short,other
bangle,0.3407459855079651,short,other
feather,0.34066712856292725,short,other
nineteen,0.34066343307495117,short,other
brushes,0.3406190276145935,short,other
mosquito,0.34030893445014954,short,other
poodle,0.3402940034866333,short,other
sensitive,0.3402389883995056,short,other
pinches,0.34018561244010925,short,other
rudolph,0.3395465016365051,short,other
itchy,0.3394201397895813,short,other
layer,0.33906447887420654,short,other
weeny,0.3388686776161194,short,other
berry,0.33876001834869385,short,other
scrumptious,0.3386656641960144,short,other
flapping,0.3384847939014435,short,other
removed,0.3383934199810028,short,both
stingy,0.33802226185798645,short,other
gently,0.3378501236438751,short,other
attitude,0.33779942989349365,short,other
shrunk,0.3377441167831421,short,other
tap,0.3376549780368805,short,other
spear,0.33760640025138855,short,other
splinter,0.33733510971069336,short,other
decoration,0.3371618986129761,short,other
smoking,0.3371516168117523,short,other
