|word, distance, targetword|
quickly,0.629158616065979,soon
fast,0.5704054236412048,soon
otherwise,0.5288757085800171,soon
late,0.5272642374038696,soon
early,0.5137453079223633,soon
easily,0.5111719369888306,soon
tomorrow,0.50452721118927,soon
slowly,0.46518999338150024,soon
far,0.44389888644218445,soon
someday,0.442568302154541,soon
until,0.44002124667167664,soon
badly,0.4400055706501007,soon
tonight,0.4395514130592346,soon
after,0.43153417110443115,soon
busy,0.4285794198513031,soon
as_soon_as,0.4258900284767151,soon
quick,0.4189254641532898,soon
excitable,0.4166494309902191,soon
usual,0.4156285226345062,soon
healthy,0.41043543815612793,soon
warm,0.40210920572280884,soon
sometime,0.3983014225959778,soon
nicely,0.3944697976112366,soon
dressed,0.3938278555870056,soon
excited,0.39194154739379883,soon
spring,0.3903137445449829,soon
carefully,0.3867362141609192,soon
expensive,0.3864065408706665,soon
next,0.3861084580421448,soon
forever,0.3802089989185333,soon
hopefully,0.37844234704971313,soon
quietly,0.37712645530700684,soon
when,0.3701748251914978,soon
cool,0.3698045611381531,soon
proud,0.36917030811309814,soon
slow,0.36724740266799927,soon
talkative,0.3638596534729004,soon
quiet,0.36214569211006165,soon
opposed,0.36156606674194336,soon
till,0.3556869626045227,soon
everyone,0.3552900552749634,soon
undressed,0.35372036695480347,soon
finally,0.34649503231048584,soon
home,0.34422576427459717,soon
dry,0.3425160348415375,soon
pleased,0.3384110629558563,soon
softly,0.33741331100463867,soon
upset,0.33435481786727905,soon
disguised,0.33038681745529175,soon
windy,0.3285110592842102,soon
then,0.32809847593307495,soon
cozy,0.3278551399707794,soon
angry,0.3275546729564667,soon
strong,0.3269151747226715,soon
clever,0.3262866735458374,soon
shortly,0.324217826128006,soon
cowgirl,0.32379597425460815,soon
annoyed,0.3224657475948334,soon
untill,0.3198593854904175,soon
agreeable,0.3189656436443329,soon
before,0.3187897503376007,soon
tightly,0.3186221718788147,soon
helpful,0.318272203207016,soon
lonely,0.3175363540649414,soon
during,0.3133828043937683,soon
sick,0.31291523575782776,soon
hassle,0.31266528367996216,soon
downstairs,0.3111637830734253,soon
later,0.31000804901123047,soon
close,0.3094617426395416,soon
high,0.3083910346031189,soon
marcella,0.30777600407600403,soon
afterwards,0.30648529529571533,soon
safe,0.30613163113594055,soon
useful,0.30584418773651123,soon
married,0.30566954612731934,soon
trained,0.30519846081733704,soon
and,0.30463695526123047,soon
long,0.304580956697464,soon
simple,0.3044126033782959,soon
today,0.30425453186035156,soon
upstairs,0.30319744348526,soon
sunday,0.30312788486480713,soon
tight,0.30267804861068726,soon
cradle,0.3026251792907715,soon
glad,0.30136895179748535,soon
consistent,0.3005605936050415,soon
suddenly,0.2993205189704895,soon
sunny,0.2973088026046753,soon
serious,0.2966209352016449,soon
everybody,0.29657500982284546,soon
anyway,0.29612231254577637,soon
strangest,0.29435479640960693,soon
celebrate,0.29412487149238586,soon
known,0.2933630347251892,soon
along,0.29335397481918335,soon
shouted,0.292906254529953,soon
well,0.2916856110095978,soon
hurry,0.2908425033092499,soon
lucky,0.290817528963089,soon
