|word, distance, targetword|
quickly,0.7377780675888062,soon
shortly,0.5941972732543945,soon
eventually,0.5784466862678528,soon
fast,0.5579935312271118,soon
far,0.5145865678787231,soon
easily,0.5116291046142578,soon
swiftly,0.5045028924942017,soon
rapidly,0.5042611956596375,soon
eagerly,0.4869641065597534,soon
late,0.47787216305732727,soon
badly,0.4758199155330658,soon
speedily,0.4675009846687317,soon
safely,0.4670082628726959,soon
immediately,0.4654839336872101,soon
finally,0.46538811922073364,soon
long,0.4646039605140686,soon
slowly,0.4626047611236572,soon
gradually,0.46183115243911743,soon
abruptly,0.45007091760635376,soon
unharmed,0.4473446011543274,soon
close,0.4470418095588684,soon
then,0.4426102042198181,soon
weu,0.4420158267021179,soon
promptly,0.4392334222793579,soon
expeditiously,0.4316934645175934,soon
reluctantly,0.430372416973114,soon
much,0.42963165044784546,soon
briefly,0.4294355809688568,soon
liberators,0.42671406269073486,soon
again,0.42038559913635254,soon
when,0.41587477922439575,soon
well,0.4148498475551605,soon
quietly,0.41430068016052246,soon
until,0.41067859530448914,soon
smoothly,0.4007710814476013,soon
ishbeal,0.4003180265426636,soon
early,0.3965985178947449,soon
happily,0.39481669664382935,soon
inasmuch,0.3923077881336212,soon
innocently,0.39068642258644104,soon
hurriedly,0.3896358609199524,soon
someday,0.3876326084136963,soon
hopefully,0.38617846369743347,soon
hastily,0.3831174373626709,soon
usual,0.38244956731796265,soon
glad,0.3819245994091034,soon
till,0.38093388080596924,soon
nianhua,0.37970393896102905,soon
dwindle,0.3755221962928772,soon
unscathed,0.3753322958946228,soon
once,0.3738718628883362,soon
whenever,0.3724810481071472,soon
nicely,0.37160271406173706,soon
mairin,0.3712869882583618,soon
readily,0.37050968408584595,soon
often,0.36941957473754883,soon
mysteriously,0.3689209222793579,soon
suddenly,0.3670952618122101,soon
tomorrow,0.36522015929222107,soon
overnight,0.3640581965446472,soon
if,0.3629756569862366,soon
naturally,0.361545592546463,soon
reclassified,0.36069193482398987,soon
infrequently,0.3597499430179596,soon
cheerfully,0.3586614727973938,soon
forever,0.353526771068573,soon
before,0.35197511315345764,soon
falter,0.3497568964958191,soon
slow,0.34939414262771606,soon
tardy,0.34802231192588806,soon
sometime,0.3477969765663147,soon
relent,0.3459773361682892,soon
inevitably,0.34541934728622437,soon
progresses,0.3445402979850769,soon
officially,0.3403879404067993,soon
never,0.3396921753883362,soon
surely,0.339587926864624,soon
wither,0.3391062915325165,soon
bushed,0.3385605812072754,soon
miraculously,0.3382607102394104,soon
busy,0.33795398473739624,soon
uneventful,0.3375433683395386,soon
excited,0.33691656589508057,soon
lucky,0.3368491232395172,soon
awhile,0.33672472834587097,soon
stoically,0.33592355251312256,soon
result,0.3358820676803589,soon
ifit,0.3343183100223541,soon
magically,0.33423545956611633,soon
bravely,0.3342212736606598,soon
gladly,0.33351844549179077,soon
carefully,0.33223986625671387,soon
subside,0.32970237731933594,soon
thestrals,0.32909369468688965,soon
prematurely,0.3278758227825165,soon
thaw,0.32620370388031006,soon
indefinitely,0.3258157968521118,soon
repatriated,0.32563284039497375,soon
promisingly,0.32466572523117065,soon
formally,0.32430779933929443,soon
