|word, distance, targetword|
long,0.7453535795211792,short
shorter,0.5269064903259277,short
longest,0.4959436058998108,short
shortest,0.48601096868515015,short
brief,0.48491963744163513,short
deep,0.4760526120662689,short
shortened,0.46792101860046387,short
longish,0.45991554856300354,short
creditable,0.4551967978477478,short
quick,0.4502725601196289,short
rough,0.44666174054145813,short
unexpired,0.44593870639801025,short
second,0.4457038640975952,short
low,0.43702441453933716,short
tight,0.43591541051864624,short
slow,0.432564914226532,short
risky,0.4301423728466034,short
tiring,0.4261326789855957,short
bumpy,0.4251221716403961,short
lengthy,0.42455896735191345,short
stiff,0.4175507426261902,short
thin,0.41634631156921387,short
commas,0.41009026765823364,short
narrow,0.4074414074420929,short
slim,0.4059070348739624,short
pejorative,0.4048314690589905,short
fast,0.4040137827396393,short
tricky,0.4017442464828491,short
endearment,0.40140849351882935,short
limber,0.4013262391090393,short
overlong,0.3996245861053467,short
painful,0.3982284665107727,short
simple,0.3978941738605499,short
slack,0.39706748723983765,short
painless,0.39607906341552734,short
misnomer,0.3931233286857605,short
awhile,0.39241671562194824,short
steep,0.3907690644264221,short
derogatory,0.39066755771636963,short
thick,0.3896878957748413,short
full,0.3895775079727173,short
prolonged,0.38957393169403076,short
sparse,0.38448357582092285,short
steady,0.37950512766838074,short
snappy,0.3791801333427429,short
longer,0.3778587877750397,short
sharp,0.37683165073394775,short
minimal,0.3761882483959198,short
late,0.3760375678539276,short
tedious,0.37315502762794495,short
nimble,0.3691718578338623,short
stilted,0.3672875761985779,short
dicey,0.3668680191040039,short
modest,0.36539602279663086,short
tough,0.3648812174797058,short
depressing,0.36461177468299866,short
lag,0.36408013105392456,short
quiet,0.36344966292381287,short
clingy,0.36170685291290283,short
length,0.3613019287586212,short
hard,0.3611546456813812,short
straightforward,0.3601667881011963,short
judicious,0.35957086086273193,short
limited,0.359279990196228,short
skinny,0.3583400249481201,short
disappointing,0.3578053116798401,short
lengthened,0.3573771119117737,short
iong,0.35630640387535095,short
linear,0.35514146089553833,short
easy,0.3550500273704529,short
definite,0.3549666404724121,short
clumsy,0.35480761528015137,short
melodramatic,0.3546297550201416,short
gnarly,0.354627400636673,short
discreet,0.3542037606239319,short
ragged,0.35351577401161194,short
duration,0.35258907079696655,short
predictable,0.35252267122268677,short
brisk,0.35174018144607544,short
taut,0.3514675498008728,short
clunky,0.3514547348022461,short
perilous,0.35023272037506104,short
rapid,0.34903645515441895,short
shallow,0.34884849190711975,short
marginal,0.3485073745250702,short
fiveminute,0.3483685553073883,short
boring,0.34835749864578247,short
heavy,0.3465074598789215,short
intermediate,0.3462233543395996,short
strenuous,0.3460763692855835,short
small,0.34544241428375244,short
wide,0.34450945258140564,short
coining,0.3436456620693207,short
supple,0.3434596657752991,short
miserly,0.34336188435554504,short
negligible,0.3421511948108673,short
tall,0.3413366973400116,short
soft,0.3407506048679352,short
vertical,0.33979928493499756,short
cumbersome,0.33955395221710205,short
bushy,0.3382287621498108,short
skimpy,0.33761757612228394,short
final,0.33751896023750305,short
frustrating,0.337380051612854,short
big,0.3365429639816284,short
sluggish,0.33600151538848877,short
chancy,0.33556288480758667,short
silent,0.3352484107017517,short
loose,0.3346642553806305,short
gutsy,0.3346627354621887,short
glib,0.3338088393211365,short
suspenseful,0.33361923694610596,short
broad,0.33307796716690063,short
flattering,0.33236992359161377,short
wobbly,0.3323209583759308,short
shorten,0.3322489261627197,short
high,0.33132845163345337,short
slight,0.3309093713760376,short
neat,0.3305169343948364,short
weak,0.3303711414337158,short
madiba,0.3302726745605469,short
heady,0.33018139004707336,short
noticeable,0.3299689292907715,short
same,0.3296688199043274,short
annums,0.3294382095336914,short
jessant,0.32925161719322205,short
close,0.3289024233818054,short
foolish,0.3288269639015198,short
imprecise,0.3286969065666199,short
minute,0.32866859436035156,short
