|word, distance, targetword|
short,0.7229601740837097,long
tall,0.5023115873336792,long
loose,0.4922999143600464,long
much,0.4860527515411377,long
easily,0.484099805355072,long
strong,0.4756004810333252,long
lovely,0.47057396173477173,long
small,0.46990108489990234,long
thick,0.46967804431915283,long
rough,0.468831330537796,long
sturdy,0.46882736682891846,long
far,0.4658331573009491,long
sharp,0.46297162771224976,long
large,0.46190571784973145,long
flat,0.455901563167572,long
fast,0.4513387978076935,long
late,0.4500928223133087,long
upon,0.4412538409233093,long
thin,0.4372531771659851,long
bumpy,0.4351198077201843,long
hard,0.4350329637527466,long
quite,0.43371301889419556,long
tough,0.4323122203350067,long
every,0.42591536045074463,long
huge,0.4258090853691101,long
bad,0.42548877000808716,long
final,0.4228058457374573,long
wonderful,0.4173472821712494,long
tight,0.41499772667884827,long
sore,0.4120813310146332,long
nap,0.4088030755519867,long
difficult,0.4081015884876251,long
dark,0.4068925380706787,long
rude,0.40601709485054016,long
exciting,0.4041634500026703,long
big,0.4037427306175232,long
usual,0.40254849195480347,long
disguised,0.4024277925491333,long
leafy,0.3980799913406372,long
busy,0.39802539348602295,long
easy,0.39787811040878296,long
flu,0.39707762002944946,long
brave,0.39627498388290405,long
term,0.3951754570007324,long
heavy,0.39158105850219727,long
curly,0.39048200845718384,long
sunny,0.3864308297634125,long
lessons,0.3864033818244934,long
celebration,0.38572514057159424,long
longest,0.38464832305908203,long
awhile,0.3835284411907196,long
crowded,0.3833996057510376,long
beautiful,0.3798155188560486,long
wide,0.37831324338912964,long
many,0.3778109550476074,long
bright,0.3766861855983734,long
comfortable,0.3750867247581482,long
fancy,0.3720467686653137,long
high,0.3712221682071686,long
known,0.37085819244384766,long
healthy,0.3690614700317383,long
badly,0.3681443929672241,long
planned,0.3681088387966156,long
expensive,0.36785221099853516,long
noisy,0.36680009961128235,long
machrauchenia,0.366718053817749,long
responsibility,0.3660150170326233,long
colorful,0.3651682734489441,long
deep,0.36504217982292175,long
feathery,0.36449819803237915,long
paddington,0.3633008599281311,long
mammoth,0.3627828061580658,long
skinny,0.36235395073890686,long
strange,0.3582710027694702,long
spent,0.35764312744140625,long
quiet,0.3573908805847168,long
ache,0.3557587265968323,long
pascal,0.3553816080093384,long
since,0.3546200096607208,long
third,0.3515997529029846,long
curved,0.35147175192832947,long
old,0.35124945640563965,long
twice,0.3510369062423706,long
narrow,0.35081490874290466,long
stomachache,0.3485168516635895,long
carefully,0.3477369546890259,long
robitussin,0.34725886583328247,long
valentine,0.34621477127075195,long
millisandy,0.3461405038833618,long
impressed,0.34610265493392944,long
messy,0.34555894136428833,long
unusual,0.34502917528152466,long
showers,0.3441711366176605,long
wisely,0.34348827600479126,long
ago,0.343242347240448,long
once,0.34309524297714233,long
good,0.34296050667762756,long
pigeon,0.3423110246658325,long
karate,0.3422110974788666,long
pleasant,0.34169137477874756,long
helpful,0.3405891954898834,long
simple,0.34043437242507935,long
last,0.3398721218109131,long
winter,0.3395001292228699,long
bare,0.339097797870636,long
during,0.33881932497024536,long
rush,0.33846279978752136,long
slippery,0.33820581436157227,long
enjoyable,0.33717066049575806,long
blonde,0.3364046514034271,long
grand,0.3363763689994812,long
peaceful,0.33615371584892273,long
nights,0.33596938848495483,long
spring,0.3353872001171112,long
fourth,0.3352571725845337,long
