|word, distance, targetword|
long,0.7229601144790649,short
thin,0.6881375312805176,short
bumpy,0.6812089681625366,short
thick,0.6767392158508301,short
curly,0.6674474477767944,short
rough,0.6428812742233276,short
large,0.6397316455841064,short
strong,0.6381056308746338,short
small,0.6300978064537048,short
loose,0.6154272556304932,short
huge,0.612221360206604,short
heavy,0.6067490577697754,short
skinny,0.6035109758377075,short
tall,0.6027363538742065,short
sharp,0.6010603904724121,short
stout,0.5900277495384216,short
feathery,0.5897901654243469,short
tough,0.586493730545044,short
leafy,0.5693599581718445,short
sturdy,0.5691811442375183,short
low,0.5678874254226685,short
wobbly,0.5639283061027527,short
lovely,0.562207818031311,short
flat,0.5457514524459839,short
crooked,0.5451396703720093,short
sore,0.5423996448516846,short
fleece,0.5308248996734619,short
lumpy,0.5289202928543091,short
stiff,0.5233445167541504,short
furry,0.5120603442192078,short
tight,0.511278510093689,short
soft,0.5082559585571289,short
brave,0.5058143138885498,short
fancy,0.5014364719390869,short
big,0.5000845193862915,short
messy,0.49994000792503357,short
tiny,0.4940762519836426,short
curved,0.4913838803768158,short
grumpy,0.48996010422706604,short
bright,0.48973023891448975,short
sunny,0.48860612511634827,short
noisy,0.4874122738838196,short
wooly,0.48541897535324097,short
simple,0.48448270559310913,short
fat,0.48237839341163635,short
ugly,0.47999992966651917,short
bull,0.47847872972488403,short
young,0.47844254970550537,short
blonde,0.4765476584434509,short
difficult,0.4748263359069824,short
crowded,0.47463566064834595,short
machrauchenia,0.47363871335983276,short
wrinkly,0.47350937128067017,short
claws,0.4718274772167206,short
comfortable,0.4716099202632904,short
fluffy,0.4714895486831665,short
expensive,0.4711781442165375,short
patchy,0.470808744430542,short
bitty,0.4693547785282135,short
pain,0.4692603051662445,short
chubby,0.46681633591651917,short
old,0.4661094546318054,short
traditional,0.4653361737728119,short
tricky,0.4629075229167938,short
smaller,0.4624837040901184,short
flight,0.4618953764438629,short
bad,0.46160268783569336,short
sneaky,0.4610758423805237,short
smooth,0.4595978260040283,short
twisty,0.4552919864654541,short
healthy,0.4545321464538574,short
frightened,0.4519956111907959,short
beady,0.45138001441955566,short
narrow,0.45136570930480957,short
truly,0.44874218106269836,short
strange,0.44751518964767456,short
slippery,0.44693702459335327,short
pigeon,0.44657811522483826,short
wiggly,0.44494640827178955,short
crabby,0.44457370042800903,short
weak,0.44448384642601013,short
deep,0.4442843496799469,short
holy,0.4438939392566681,short
colorful,0.4437110424041748,short
range,0.4434557259082794,short
tightly,0.4419323801994324,short
excitable,0.4398365616798401,short
baby_mickey,0.43902280926704407,short
beautiful,0.4376946687698364,short
fingernails,0.4374656081199646,short
cool,0.4366835951805115,short
hers,0.43388134241104126,short
hard,0.43314722180366516,short
usual,0.4330674409866333,short
longest,0.43294578790664673,short
dangerous,0.4326809346675873,short
easily,0.4317110478878021,short
horrible,0.431706041097641,short
lazy,0.4304335415363312,short
late,0.4295523166656494,short
frustrating,0.42940449714660645,short
mammoth,0.42916154861450195,short
impressed,0.4277312457561493,short
clever,0.4276313781738281,short
complicated,0.4256380498409271,short
ago,0.4244990050792694,short
proud,0.4239029288291931,short
quiet,0.42364245653152466,short
necks,0.423525333404541,short
pony,0.42350322008132935,short
elastic,0.42293408513069153,short
shiny,0.4226556420326233,short
terrible,0.42182329297065735,short
skin,0.4212540090084076,short
grouchy,0.4210611581802368,short
wonderful,0.4196501672267914,short
normal,0.4195842146873474,short
rich,0.41949331760406494,short
angry,0.4185955226421356,short
windy,0.417853444814682,short
ears,0.4178370535373688,short
teeny,0.4177858829498291,short
bare,0.4159049093723297,short
gretel,0.41565126180648804,short
bigs,0.41523024439811707,short
patient,0.41454440355300903,short
cute,0.4140515923500061,short
squeaky,0.4139862656593323,short
quilt,0.4139622449874878,short
giant,0.4129868149757385,short
wide,0.4127730131149292,short
frilly,0.41233694553375244,short
helpful,0.4116637706756592,short
busy,0.4110732078552246,short
its,0.41065457463264465,short
brushing,0.4103880226612091,short
coach,0.40983089804649353,short
combed,0.4096646308898926,short
flaps,0.4090471863746643,short
smart,0.40818843245506287,short
eeyore,0.4075312912464142,short
super,0.40674564242362976,short
teapot,0.4065661132335663,short
blasted,0.40652793645858765,short
fuzzy,0.4060754179954529,short
style,0.40597259998321533,short
slim,0.40574193000793457,short
inches,0.40570560097694397,short
shorter,0.40546590089797974,short
easy,0.40523505210876465,short
legged,0.4051268696784973,short
useful,0.405048131942749,short
dotty,0.4050063490867615,short
woolly,0.40458351373672485,short
tin,0.4044645428657532,short
power,0.40436887741088867,short
african,0.4041095972061157,short
faithful,0.4030338525772095,short
guilty,0.40237101912498474,short
twirly,0.401321679353714,short
stinky,0.40028953552246094,short
nice,0.39982929825782776,short
rude,0.3998046815395355,short
sleeve,0.39926472306251526,short
medium,0.3989604115486145,short
celebration,0.39888158440589905,short
similar,0.3984714448451996,short
breath,0.3983447253704071,short
combing,0.39829182624816895,short
scary,0.3982183337211609,short
tossed,0.39666351675987244,short
chilly,0.3961595892906189,short
gorgeous,0.39608126878738403,short
millisandy,0.3954024314880371,short
cent,0.39515405893325806,short
yawn,0.3950437307357788,short
pleased,0.3947734236717224,short
nervous,0.39468175172805786,short
threats,0.39406096935272217,short
nearly,0.3939692974090576,short
tusks,0.39343664050102234,short
merrily,0.3932045102119446,short
fussy,0.39294034242630005,short
jealous,0.39289742708206177,short
closely,0.39267104864120483,short
wrinkled,0.3926226496696472,short
shadows,0.39206433296203613,short
creature,0.3919913172721863,short
amazed,0.3918067216873169,short
fa,0.3907890021800995,short
white,0.3906571865081787,short
million,0.39054304361343384,short
broken,0.3904193937778473,short
cold,0.38955074548721313,short
rotten,0.3895435035228729,short
hairs,0.3894456624984741,short
snowy,0.38932663202285767,short
sputtered,0.38932037353515625,short
tasty,0.38927167654037476,short
upon,0.38887256383895874,short
smelly,0.3886983096599579,short
flowing,0.3881179988384247,short
known,0.3880176544189453,short
sixteen,0.3879157304763794,short
agreeable,0.3878079354763031,short
brushed,0.3876417577266693,short
disguised,0.38746923208236694,short
snake,0.38676631450653076,short
shaggy,0.3867011070251465,short
pointy,0.386165976524353,short
headed,0.3853188753128052,short
thread,0.3853164613246918,short
determined,0.38520970940589905,short
such,0.38510727882385254,short
powerful,0.3850264549255371,short
died,0.38480597734451294,short
fuzzy_wuzzy,0.38441458344459534,short
atmosphere,0.38430237770080566,short
talkative,0.384158730506897,short
macdonald,0.3840336501598358,short
plump,0.38393160700798035,short
fur,0.3836633563041687,short
sad,0.3835471272468567,short
duper,0.38272345066070557,short
lamb,0.38257911801338196,short
abandoned,0.3825482428073883,short
tickly,0.3825437128543854,short
dark,0.3824233412742615,short
affection,0.3823644518852234,short
longer,0.38221830129623413,short
playful,0.38204845786094666,short
wallpaper,0.38204145431518555,short
fudge,0.3819904029369354,short
stroke,0.3816206157207489,short
warm,0.381350040435791,short
built,0.3811306953430176,short
autumn,0.3805300295352936,short
dust,0.3805282711982727,short
dub,0.3803105354309082,short
brown,0.3802925646305084,short
extremely,0.380292147397995,short
mane,0.3798139989376068,short
feets,0.37960517406463623,short
master,0.3789428174495697,short
steel,0.3786153197288513,short
haired,0.37800443172454834,short
charming,0.37777024507522583,short
early,0.3770156502723694,short
disappointed,0.37649255990982056,short
sash,0.37636950612068176,short
mighty,0.37625664472579956,short
dollar,0.37582483887672424,short
hairy,0.375440776348114,short
golden,0.3747759163379669,short
magical,0.3747488856315613,short
handsome,0.37411820888519287,short
joy,0.37407785654067993,short
beak,0.3739188313484192,short
noticing,0.37325552105903625,short
cozy,0.3731597065925598,short
foots,0.3729677200317383,short
high,0.37244948744773865,short
sweatshirt,0.37210243940353394,short
generous,0.37185138463974,short
cutting,0.3716268837451935,short
weird,0.37143898010253906,short
disgusting,0.3714149594306946,short
