|word, distance, targetword|
narrow,0.6398061513900757,wide
large,0.6153038144111633,wide
flowing,0.6106486320495605,wide
deep,0.605224609375,wide
huge,0.5816614627838135,wide
windows,0.5608065724372864,wide
branches,0.5598353743553162,wide
low,0.5419651865959167,wide
beyond,0.5374316573143005,wide
gate,0.5327297449111938,wide
burst,0.5319870710372925,wide
bright,0.5311557650566101,wide
flaps,0.5274831056594849,wide
doors,0.5252361297607422,wide
blinds,0.5200728178024292,wide
breeze,0.5163373947143555,wide
giant,0.5061720013618469,wide
dark,0.5030699968338013,wide
lumpy,0.49995046854019165,wide
thin,0.49792179465293884,wide
tall,0.4884646236896515,wide
thick,0.48624110221862793,wide
cloud,0.4844878315925598,wide
relative,0.48086994886398315,wide
strong,0.47946467995643616,wide
pan,0.47787004709243774,wide
muck,0.47737088799476624,wide
skinny,0.47497862577438354,wide
forest,0.47101151943206787,wide
piled,0.4702644348144531,wide
bumpy,0.46756887435913086,wide
african,0.4672669470310211,wide
fields,0.46713799238204956,wide
slowly,0.4662374258041382,wide
small,0.4652143120765686,wide
stretched,0.46396198868751526,wide
hole,0.46222299337387085,wide
sleigh,0.46207714080810547,wide
strings,0.4605013132095337,wide
pipe,0.4594900608062744,wide
dub,0.457156240940094,wide
slot,0.45640993118286133,wide
waves,0.4551846981048584,wide
metal,0.45490410923957825,wide
suddenly,0.4548508822917938,wide
sturdy,0.4534720182418823,wide
cages,0.4514999985694885,wide
starry,0.4496022164821625,wide
trunks,0.4481480121612549,wide
dust,0.44709503650665283,wide
closes,0.4467688202857971,wide
drawer,0.44621992111206055,wide
sharp,0.44598835706710815,wide
stretch,0.4447475075721741,wide
power,0.4442545771598816,wide
opened,0.44394129514694214,wide
air,0.4426504373550415,wide
cabinet,0.44140371680259705,wide
world,0.4411531984806061,wide
holes,0.44010499119758606,wide
fountain,0.4390755891799927,wide
seas,0.43898993730545044,wide
nepal,0.43776100873947144,wide
high,0.4357597827911377,wide
knot,0.4346507489681244,wide
mouths,0.43459439277648926,wide
quickly,0.43432319164276123,wide
snowy,0.43416857719421387,wide
mountains,0.43392419815063477,wide
hopped,0.4334118664264679,wide
center,0.4331907331943512,wide
hallway,0.4321190118789673,wide
closed,0.43186983466148376,wide
stalks,0.43046408891677856,wide
diamond,0.42987507581710815,wide
tightly,0.42953574657440186,wide
flat,0.4286321997642517,wide
steep,0.42755478620529175,wide
parrots,0.4262620508670807,wide
clearing,0.4246733486652374,wide
sky,0.42420244216918945,wide
crashed,0.4231921136379242,wide
cupboard,0.4230715036392212,wide
inches,0.42244574427604675,wide
flap,0.42192959785461426,wide
bin,0.4214838147163391,wide
brick,0.42084944248199463,wide
nearest,0.4185252785682678,wide
rows,0.41653409600257874,wide
thread,0.41638875007629395,wide
smooth,0.41375309228897095,wide
atmosphere,0.41367533802986145,wide
woods,0.4130019247531891,wide
short,0.4127730131149292,wide
swamps,0.41187170147895813,wide
its,0.41179007291793823,wide
noses,0.4116668701171875,wide
feathery,0.41123783588409424,wide
eyes,0.41099458932876587,wide
stone,0.40942901372909546,wide
