word,id,neighborto,spacetime,comment,comparisonword,distance
created,171,short,o,,short,0.852
creating,172,short,o,,short,0.837
creature,173,short,o,,short,0.851
creatures,174,short,o,,short,0.888
credits,175,short,o,,short,0.872
crime,176,short,o,,short,0.875
critical,177,short,o,,short,0.796
currency,178,short,o,,short,0.84
cut,179,short,o,?,short,0.817
cutting,180,short,o,?,short,0.886
cycle,181,short,b,,short,0.845
cycles,182,short,b,,short,0.878
d,183,short,o,,short,0.806
daily,184,short,t,,short,0.884
dance,185,short,o,,short,0.819
dangerous,186,short,o,,short,0.794
dangers,187,short,o,,short,0.884
dark,188,short,o,,short,0.827
darkness,189,short,o,,short,0.821
davis,190,short,o,,short,0.844
dc,191,short,o,,short,0.879
de,192,short,o,,short,0.858
dead,193,short,o,,short,0.876
death,194,short,o,?,short,0.867
decade,195,short,t,,short,0.883
decades,196,short,t,,short,0.879
decay,197,short,o,?,short,0.889
deep,198,short,s,?,short,0.887
definitive,199,short,o,,short,0.842
depicted,200,short,o,,short,0.882
described,201,short,o,,short,0.884
describes,202,short,o,,short,0.845
describing,203,short,o,,short,0.8
descriptive,204,short,o,,short,0.858
designed,205,short,o,,short,0.886
detailed,206,short,o,,short,0.823
detective,207,short,o,,short,0.867
dialogue,208,short,o,,short,0.887
difference,209,short,o,,short,0.858
difficult,210,short,o,,short,0.791
directly,211,short,o,,short,0.875
discrete,212,short,o,,short,0.877
disney,213,short,o,,short,0.854
distance,214,short,b,?,short,0.837
dj,215,short,o,,short,0.845
dog,216,short,o,,short,0.882
dogs,217,short,o,,short,0.78
don,218,short,o,,short,0.877
donald,219,short,o,,short,0.845
double,220,short,o,,short,0.786
doubtful,221,short,o,,short,0.799
down,222,short,s,?,short,0.859
dozen,223,short,o,,short,0.872
dragon,224,short,o,,short,0.885
drama,225,short,o,,short,0.791
dramatic,226,short,o,,short,0.78
dream,227,short,o,,short,0.853
drought,228,short,o,,short,0.881
dual,229,short,o,,short,0.866
duration,230,short,t,,short,0.733
during,231,short,t,,short,0.775
dying,232,short,o,,short,0.885
e,233,short,o,,short,0.819
each,234,short,o,,short,0.804
earliest,235,short,t,,short,0.879
early,236,short,t,,short,0.868
easy,237,short,o,,short,0.847
economy,238,short,o,,short,0.863
edgar,239,short,o,,short,0.874
effect,240,short,o,,short,0.876
effective,241,short,o,,short,0.885
effectively,242,short,o,,short,0.871
eg,243,short,o,,short,0.781
eight,244,short,o,,short,0.865
either,245,short,o,,short,0.814
el,246,short,o,,short,0.868
elements,247,short,o,,short,0.882
eleven,248,short,o,,short,0.815
end,249,short,b,,short,0.834
ending,250,short,b,,short,0.765
ends,251,short,b,,short,0.801
entire,252,short,b,,short,0.857
entitled,253,short,o,,short,0.743
entry,254,short,b,,short,0.87
episodes,255,short,o,,short,0.859
equally,256,short,o,,short,0.868
equivalent,257,short,o,,short,0.874
era,258,short,t,,short,0.887
essentially,259,short,o,,short,0.778
establishing,260,short,o,,short,0.887
even,261,short,o,,short,0.871
eventually,262,short,t,,short,0.876
ever,263,short,t,,short,0.857
example,264,short,o,,short,0.821
examples,265,short,o,,short,0.854
except,266,short,o,,short,0.719
exceptions,267,short,o,,short,0.874
existence,268,short,o,,short,0.861
expensive,269,short,o,,short,0.858
extended,270,short,b,,short,0.863
extensive,271,short,o,,short,0.878
extra,272,short,o,,short,0.858
extremely,273,short,o,,short,0.809
fact,274,short,o,,short,0.842
fairly,275,short,o,,short,0.839
fall,276,short,o,?,short,0.823
falling,277,short,b,?,short,0.833
falls,278,short,b,?,short,0.886
FALSE,279,short,o,,short,0.864
famous,280,short,o,,short,0.805
fan,281,short,o,,short,0.882
far,282,short,b,,short,0.873
fast,283,short,b,,short,0.831
favorite,284,short,o,,short,0.88
feature,285,short,o,,short,0.797
featured,286,short,o,,short,0.879
featuring,287,short,o,,short,0.825
few,288,short,o,,short,0.752
fi,289,short,o,,short,0.843
fiction,290,short,o,,short,0.817
fictional,291,short,o,,short,0.841
fierce,292,short,o,,short,0.829
fifteen,293,short,o,,short,0.887
fifth,294,short,o,,short,0.876
film,295,short,o,,short,0.821
filmed,296,short,o,,short,0.887
films,297,short,o,,short,0.843
final,298,short,t,?,short,0.799
fine,299,short,o,,short,0.819
firing,300,short,o,,short,0.879
first,301,short,o,?,short,0.812
five,302,short,o,,short,0.852
fixed,303,short,o,,short,0.86
flat,304,short,s,?,short,0.806
flexible,305,short,o,,short,0.861
focal,306,short,s,?,short,0.851
focusing,307,short,o,,short,0.876
following,308,short,o,,short,0.836
follows,309,short,o,,short,0.863
footnotes,310,short,o,,short,0.797
for,311,short,o,,short,0.851
foreign,312,short,o,,short,0.88
forever,313,short,t,?,short,0.859
form,314,short,s,?,short,0.783
former,315,short,t,?,short,0.821
forming,316,short,o,,short,0.89
forms,317,short,o,,short,0.87
four,318,short,o,,short,0.833
fourth,319,short,o,,short,0.818
fragments,320,short,o,,short,0.858
frequent,321,short,b,?,short,0.861
frequently,322,short,t,,short,0.85
fresh,323,short,o,,short,0.86
friends,324,short,o,,short,0.882
from,325,short,s,?,short,0.83
front,326,short,s,,short,0.875
frost,327,short,o,,short,0.875
fu,328,short,o,,short,0.887
full,329,short,o,,short,0.756
fun,330,short,o,,short,0.882
funny,331,short,o,,short,0.801
further,332,short,b,,short,0.887
furthermore,333,short,o,,short,0.852
g,334,short,o,,short,0.852
gave,335,short,o,,short,0.882
general,336,short,o,,short,0.869
generally,337,short,o,,short,0.822
generic,338,short,o,,short,0.776
genre,339,short,o,,short,0.82
genres,340,short,o,,short,0.829
get,341,short,o,,short,0.881
ghost,342,short,o,,short,0.866
giant,343,short,s,?,short,0.883
gilbert,344,short,o,,short,0.84
given,345,short,o,,short,0.842
gives,346,short,o,,short,0.84
goes,347,short,o,,short,0.846
good,348,short,o,,short,0.828
government,349,short,o,,short,0.89
graham,350,short,o,,short,0.883
great,351,short,s,,short,0.824
h,352,short,o,,short,0.83
half,353,short,o,,short,0.827
hamburg,354,short,o,,short,0.877
handful,355,short,s,?,short,0.871
happy,356,short,o,,short,0.809
hard,357,short,o,,short,0.83
harmony,358,short,o,,short,0.878
harsh,359,short,o,,short,0.782
having,360,short,o,,short,0.884
healthy,361,short,o,,short,0.86
heavily,362,short,o,,short,0.886
heavy,363,short,o,,short,0.817
helpful,364,short,o,,short,0.886
hence,365,short,o,,short,0.853
her,366,short,o,,short,0.882
here,367,short,s,,short,0.804
hi,368,short,o,,short,0.883
high,369,short,s,,short,0.843
highly,370,short,o,,short,0.855
historic,371,short,t,?,short,0.884
historical,372,short,t,?,short,0.867
history,373,short,t,?,short,0.825
hobby,374,short,o,,short,0.877
hollow,375,short,o,,short,0.811
hollywood,376,short,o,,short,0.883
holmes,377,short,o,,short,0.86
homage,378,short,o,,short,0.884
horror,379,short,o,,short,0.821
horse,380,short,o,,short,0.879
hour,381,short,t,,short,0.752
hours,382,short,t,,short,0.8
however,383,short,o,,short,0.818
huge,384,short,s,,short,0.889
hugo,385,short,o,,short,0.783
humorous,386,short,o,,short,0.797
hungarian,387,short,o,,short,0.866
hunting,388,short,o,,short,0.866
hypothetical,389,short,o,,short,0.866
if,390,short,o,,short,0.842
iii,391,short,o,,short,0.874
ill,392,short,o,,short,0.887
immediately,393,short,t,,short,0.856
implies,394,short,o,,short,0.834
important,395,short,o,,short,0.855
in,396,short,s,?,short,0.796
includes,397,short,o,,short,0.888
incomplete,398,short,o,,short,0.853
incorrect,399,short,o,,short,0.856
incorrectly,400,short,o,,short,0.878
independently,401,short,o,,short,0.888
individual,402,short,o,,short,0.876
individually,403,short,o,,short,0.829
inherently,404,short,o,,short,0.87
initial,405,short,t,?,short,0.79
initially,406,short,t,?,short,0.88
insert,407,short,s,?,short,0.8
inserted,408,short,s,?,short,0.856
instance,409,short,t,?,short,0.766
instead,410,short,o,,short,0.803
intact,411,short,o,,short,0.889
intended,412,short,o,,short,0.846
intensive,413,short,o,,short,0.874
interactive,414,short,o,,short,0.861
intermediate,415,short,o,,short,0.889
internal,416,short,s,?,short,0.879
interstellar,417,short,o,,short,0.883
into,418,short,s,?,short,0.882
involving,419,short,o,,short,0.851
ironically,420,short,o,,short,0.856
is,421,short,o,,short,0.882
isolation,422,short,o,,short,0.873
itself,423,short,o,,short,0.86
jan,424,short,o,,short,0.864
japanese,425,short,o,,short,0.829
jet,426,short,o,,short,0.882
joe,427,short,o,,short,0.862
joke,428,short,o,,short,0.854
jordan,429,short,o,,short,0.886
jr,430,short,o,,short,0.853
jump,431,short,b,,short,0.881
just,432,short,o,,short,0.812
k,433,short,o,,short,0.863
ka,434,short,o,,short,0.865
kai,435,short,o,,short,0.886
keeping,436,short,o,,short,0.841
kind,437,short,o,,short,0.888
kingdoms,438,short,o,,short,0.889
kings,439,short,o,,short,0.871
kirby,440,short,o,,short,0.87
known,441,short,o,,short,0.795
kryptonite,442,short,o,,short,0.873
l,443,short,o,,short,0.827
