word,id,spacetime,comment,comparisonword,distance
a,1,other,,long,0.77
abandoned,2,other,,long,0.846
about,3,both,,long,0.678
absence,4,other,,long,0.854
access,5,other,,long,0.865
according,6,other,,long,0.873
accordingly,7,other,,long,0.817
account,8,other,,long,0.848
accurate,9,other,,long,0.864
across,10,space,,long,0.865
action,11,both,,long,0.871
actual,12,other,,long,0.861
actually,13,other,,long,0.792
acute,14,space,,long,0.847
addition,15,other,,long,0.82
additionally,16,other,,long,0.817
adequate,17,other,,long,0.878
after,18,time,,long,0.8
again,19,time,,long,0.847
ago,20,time,,long,0.875
all,21,other,,long,0.841
alleged,22,other,,long,0.873
allegedly,23,other,,long,0.872
almost,24,both,,long,0.783
alone,25,other,,long,0.861
along,26,space,,long,0.808
alongside,27,space,,long,0.882
already,28,time,,long,0.737
also,29,other,,long,0.726
alternating,30,both,,long,0.871
alternative,31,other,,long,0.855
although,32,other,,long,0.783
altogether,33,other,,long,0.863
always,34,time,,long,0.807
an,35,other,,long,0.767
and,36,other,,long,0.779
another,37,other,,long,0.777
any,38,other,,long,0.789
anyone,39,other,,long,0.879
anything,40,other,,long,0.829
anyway,41,other,,long,0.841
anywhere,42,space,,long,0.842
apart,43,other,,long,0.845
apparently,44,other,,long,0.719
appears,45,other,,long,0.85
approaching,46,both,,long,0.863
approximately,47,other,,long,0.734
are,48,other,,long,0.848
around,49,both,,long,0.811
arranged,50,both,,long,0.876
arrest,51,other,,long,0.871
as,52,other,,long,0.87
ascension,53,space,,long,0.884
at,54,other,,long,0.791
authentic,55,other,,long,0.878
avoid,56,other,,long,0.862
avoided,57,other,,long,0.875
avoiding,58,other,,long,0.88
away,59,space,,long,0.798
back,60,both,,long,0.789
backwards,61,both,,long,0.868
bad,62,other,,long,0.849
baker,63,other,,long,0.856
band,64,other,,long,0.841
bands,65,other,,long,0.861
barely,66,other,,long,0.817
basically,67,other,,long,0.818
be,68,other,,long,0.82
bearing,69,other,,long,0.844
beautiful,70,other,,long,0.884
because,71,other,,long,0.769
become,72,time,,long,0.847
bed,73,other,,long,0.802
been,74,time,,long,0.75
before,75,time,,long,0.69
began,76,time,,long,0.828
begin,77,time,,long,0.833
beginning,78,time,,long,0.775
begun,79,time,,long,0.788
being,80,other,,long,0.88
below,81,space,,long,0.884
best,82,other,,long,0.814
better,83,other,,long,0.842
between,84,space,,long,0.779
beyond,85,space,,long,0.815
biblical,86,other,,long,0.884
big,87,space,,long,0.825
bitter,88,other,,long,0.854
black,89,other,,long,0.843
block,90,both,,long,0.847
bloody,91,other,,long,0.851
boat,92,other,,long,0.882
book,93,other,,long,0.87
both,94,other,,long,0.821
break,95,other,,long,0.778
breaking,96,other,,long,0.8
breaks,97,other,,long,0.869
bridge,98,space,,long,0.885
brief,99,time,,long,0.627
bright,100,other,,long,0.82
bring,101,other,,long,0.884
broad,102,space,,long,0.694
broken,103,other,,long,0.778
but,104,other,,long,0.735
by,105,other,,long,0.864
called,106,other,,long,0.877
can,107,other,,long,0.856
care,108,other,,long,0.848
careful,109,other,,long,0.809
carefully,110,other,,long,0.802
carry,111,both,,long,0.861
carrying,112,both,,long,0.842
cat,113,other,,long,0.875
catch,114,other,,long,0.841
cease,115,time,,long,0.884
ceased,116,time,,long,0.856
central,117,space,,long,0.874
centuries,118,time,,long,0.877
certain,119,other,,long,0.806
certainly,120,other,,long,0.849
change,121,both,,long,0.856
changed,122,both,,long,0.874
changing,123,both,,long,0.808
channel,124,other,,long,0.872
characterised,125,other,,long,0.864
characterized,126,other,,long,0.876
cheap,127,other,,long,0.884
christmas,128,time,,long,0.861
chronic,129,time,,long,0.857
civil,130,other,,long,0.877
clear,131,other,,long,0.86
clinical,132,other,,long,0.848
close,133,both,,long,0.686
closest,134,both,,long,0.848
closing,135,other,,long,0.802
cold,136,other,,long,0.804
collapsed,137,both,,long,0.882
collective,138,other,,long,0.878
combined,139,both,,long,0.866
come,140,both,,long,0.788
comic,141,other,,long,0.843
coming,142,both,,long,0.801
commercial,143,other,,long,0.834
commitment,144,other,,long,0.858
common,145,other,,long,0.818
commonly,146,other,,long,0.878
comparatively,147,other,,long,0.859
compared,148,other,,long,0.881
complete,149,other,,long,0.745
completed,150,other,,long,0.852
completely,151,other,,long,0.851
completion,152,other,,long,0.862
comprehensive,153,other,,long,0.819
comprises,154,other,,long,0.88
concrete,155,other,,long,0.828
conditioning,156,other,,long,0.881
conditions,157,other,,long,0.822
connection,158,other,,long,0.849
